0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:56:16 +0530] "GET /E-Society/images/3.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:56:16 +0530] "GET /E-Society/images/2.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:56:18 +0530] "GET /E-Society/images/4.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:56:18 +0530] "GET /E-Society/images/3.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:56:18 +0530] "GET /E-Society/images/1.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:56:18 +0530] "GET /E-Society/images/2.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:57:05 +0530] "POST /E-Society/AdminController HTTP/1.1" 200 31715
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:57:05 +0530] "GET /E-Society/images/1.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:57:05 +0530] "GET /E-Society/js/classie.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:57:05 +0530] "GET /E-Society/js/jquery.nicescroll.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:57:05 +0530] "GET /E-Society/js/scripts.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:57:05 +0530] "GET /E-Society/js/SidebarNav.min.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:57:05 +0530] "GET /E-Society/js/SimpleChart.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:57:05 +0530] "GET /E-Society/images/4.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:57:05 +0530] "GET /E-Society/js/bootstrap.js HTTP/1.1" 404 784
