0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:11 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:11 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:11 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:11 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:11 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:11 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:11 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:11 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:23:14:16 +0530] "GET /E-Society/index.jsp HTTP/1.1" 302 -
